Year,Value,Sector
2013,15.872327,Crude Oil Production
2014,18.612818,Crude Oil Production
2015,19.700738,Crude Oil Production
2016,18.522435,Crude Oil Production
2017,19.545513,Crude Oil Production
2018,22.785702,Crude Oil Production
2019,25.559253,Crude Oil Production
2020,23.501343,Crude Oil Production
2021,23.239162,Crude Oil Production
1949,0.706102,Natural Gas Plant Liquids Production
1950,0.813366,Natural Gas Plant Liquids Production
1951,0.910336,Natural Gas Plant Liquids Production
1952,0.985701,Natural Gas Plant Liquids Production
1953,1.050702,Natural Gas Plant Liquids Production
1954,1.101065,Natural Gas Plant Liquids Production
1955,1.222838,Natural Gas Plant Liquids Production
1956,1.264288,Natural Gas Plant Liquids Production
1957,1.273767,Natural Gas Plant Liquids Production
1958,1.275674,Natural Gas Plant Liquids Production
1959,1.369632,Natural Gas Plant Liquids Production
1960,1.446688,Natural Gas Plant Liquids Production
1961,1.530668,Natural Gas Plant Liquids Production
1962,1.570579,Natural Gas Plant Liquids Production
1963,1.686928,Natural Gas Plant Liquids Production
1964,1.777335,Natural Gas Plant Liquids Production
1965,1.853211,Natural Gas Plant Liquids Production
1966,1.971083,Natural Gas Plant Liquids Production
1967,2.148364,Natural Gas Plant Liquids Production
1968,2.289294,Natural Gas Plant Liquids Production
1969,2.385951,Natural Gas Plant Liquids Production
1970,2.478196,Natural Gas Plant Liquids Production
1971,2.512654,Natural Gas Plant Liquids Production
1972,2.563714,Natural Gas Plant Liquids Production
1973,2.53452,Natural Gas Plant Liquids Production
1974,2.434819,Natural Gas Plant Liquids Production
1975,2.337943,Natural Gas Plant Liquids Production
1976,2.287714,Natural Gas Plant Liquids Production
1977,2.285651,Natural Gas Plant Liquids Production
1978,2.201959,Natural Gas Plant Liquids Production
1979,2.232325,Natural Gas Plant Liquids Production
1980,2.224841,Natural Gas Plant Liquids Production
1981,2.266284,Natural Gas Plant Liquids Production
1982,2.149202,Natural Gas Plant Liquids Production
1983,2.136317,Natural Gas Plant Liquids Production
1984,2.233806,Natural Gas Plant Liquids Production
1985,2.203767,Natural Gas Plant Liquids Production
1986,2.112878,Natural Gas Plant Liquids Production
1987,2.178933,Natural Gas Plant Liquids Production
1988,2.23069,Natural Gas Plant Liquids Production
1989,2.123367,Natural Gas Plant Liquids Production
1990,2.138298,Natural Gas Plant Liquids Production
1991,2.265161,Natural Gas Plant Liquids Production
1992,2.322585,Natural Gas Plant Liquids Production
1993,2.36619,Natural Gas Plant Liquids Production
1994,2.349386,Natural Gas Plant Liquids Production
1995,2.397846,Natural Gas Plant Liquids Production
1996,2.480343,Natural Gas Plant Liquids Production
1997,2.444798,Natural Gas Plant Liquids Production
1998,2.372294,Natural Gas Plant Liquids Production
1999,2.472965,Natural Gas Plant Liquids Production
2000,2.551466,Natural Gas Plant Liquids Production
2001,2.490533,Natural Gas Plant Liquids Production
2002,2.502206,Natural Gas Plant Liquids Production
2003,2.296059,Natural Gas Plant Liquids Production
2004,2.407581,Natural Gas Plant Liquids Production
2005,2.279946,Natural Gas Plant Liquids Production
2006,2.298717,Natural Gas Plant Liquids Production
2007,2.348716,Natural Gas Plant Liquids Production
2008,2.359299,Natural Gas Plant Liquids Production
2009,2.508252,Natural Gas Plant Liquids Production
2010,2.704829,Natural Gas Plant Liquids Production
2011,2.890075,Natural Gas Plant Liquids Production
2012,3.162126,Natural Gas Plant Liquids Production
2013,3.451386,Natural Gas Plant Liquids Production
2014,4.005085,Natural Gas Plant Liquids Production
2015,4.475993,Natural Gas Plant Liquids Production
