name,tag,origin
Kandahar,Street,Other
Tessensohn,Road,Other
Rangoon,Road,Other
Race Course,Road,Generic
Little,Road,Generic
Bunga Rampai,Jalan,Malay
Whitley,Road,British
Teck Whye,Avenue,Chinese
Jurong Canal,Drive,Malay
Japanese,Garden Road,Other
Tah Ching,Road,Chinese
Prince Edward,Link,British
Jurong,Road,Malay
Boon Lay,Place,Chinese
Yung Ho,Road,Chinese
Yung Kuang,Road,Chinese
Ho Ching,Road,Chinese
Chin Bee,Crescent,Chinese
Chin Bee,Road,Chinese
Chin Bee,Avenue,Chinese
Quality,Road,Generic
Tukang,Jalan,Malay
Jentera,Jalan,Malay
International,Road,Generic
Enterprise,Road,Generic
Wan Lee,Road,Chinese
Nanyang,Avenue,Chinese
Joo Koon,Circle,Chinese
Lien Ying Chow,Drive,Chinese
Nanyang,Hill,Chinese
Nanyang,Green,Chinese
Nanyang,Drive,Chinese
Nanyang,Circle,Chinese
Students,Walk,Generic
Nanyang,Terrace,Chinese
Nanyang,Link,Chinese
Fort,Road,Generic
Nanyang,Crescent,Chinese
Stanley,Street,British
Fan Yoong,Road,Chinese
Kian Teck,Way,Chinese
Kian Teck,Crescent,Chinese
Lok Yang,Road,Chinese
Kian Teck,Road,Chinese
Benoi,Road,Other
Joo Koon,Road,Chinese
Joo Koon,Way,Chinese
Pasir Panjang,Road,Malay
Enggor,Street,Malay
West,Coast Drive,Generic
Pandan,Gardens,Malay
Teban,Gardens Road,Malay
McCallum,Street,British
International Business,Park,Generic
West,Coast Link,Generic
Clementi,Street,British
Tanjong Kling,Road,Indian
Pioneer,Walk,British
Sunview,Road,Generic
Pioneer,Crescent,British
Benoi,Crescent,Other
Benoi,Sector,Other
Shipyard,Road,Generic
Tuas,Road,Malay
Spottiswoode,Park Road,British
Collyer,Quay,British
Mosque,Street,Malay
Temple,Street,Generic
Teck Lim,Road,Chinese
Jiak Chuan,Road,Chinese
Tan Tye,Place,Chinese
Sago,Lane,Generic
Duxton,Road,British
Duxton,Hill,British
Craig,Road,British
Boon Tat,Street,Chinese
Maxwell,Link,British
Palmer,Road,British
Parsi,Road,Other
Yan Kit,Road,Chinese
Cantonment,Close,Generic
Ann Siang,Road,Chinese
Erskine,Road,British
Club,Street,Generic
China,Street,Chinese
Church,Street,Generic
Market,Street,Generic
Malacca,Street,Malay
Phillip,Street,British
Finlayson,Green,British
Amoy,Street,Chinese
Boon Keng,Road,Chinese
Geylang,Lorong,Malay
Genting,Road,Malay
Serangoon,View,Malay
Seraya,Crescent,Malay
Kim Seng,Promenade,Chinese
Tanjong Rhu,Road,Malay
Rhu Cross,,Malay
Tanjong Rhu,View,Malay
Meyer,Road,Other
Kallang,Way,Malay
Tannery,Road,Generic
Bakar Batu,Lorong,Malay
Kallang Pudding,Road,Malay
Genting,Lane,Malay
Kallang,Sector,Malay
Anak Bukit,Jalan,Malay
Margaret,Drive,British
Strathmore,Avenue,British
Dawson,Road,British
Penjara,Jalan,Malay
Depot,Road,Generic
Telok Blangah,,Malay
Brizay,Park,Other
Telok Blangah,Green,Malay
Telok Blangah,Heights,Malay
Jurong Kechil,Jalan,Malay
Eng Watt,Street,Chinese
Wilby,Road,British
Mei Ling,Street,Chinese
Stirling,Road,British
Portsdown,Avenue,British
Tanah Merah Kechil,Road,Malay
Hang Jebat,Jalan,Malay
Tampines,Road,Malay
Tai Seng,Link,Chinese
Tai Seng,Avenue,Chinese
Tai Seng,Drive,Chinese
Blackmore,Drive,British
Changi Ferry,Road,Malay
Tanah Merah Kechil,Avenue,Malay
Arthur,Road,British
Holland,Link,British
Garlick,Avenue,British
Redwood,Avenue,British
Maple,Avenue,Generic
Cypress,Avenue,Generic
Holland,Green,British
Bachok,Lorong,Malay
Greenleaf,Road,Generic
Greenleaf,Avenue,Generic
Greenleaf,Grove,Generic
Greenleaf,Walk,Generic
Greenleaf,Drive,Generic
Bukit Sedap,Road,Malay
Holland,Grove Road,British
Mount Sinai,Drive,Other
Seletar,Road,Malay
Fernhill,Crescent,British
Tanah Merah Kechil,Link,Malay
Tanah Merah Kechil,Rise,Malay
Pari Burong,Jalan,Malay
Simei,Street,British
Changi,Street,Malay
Fulton,Road,British
Jacaranda,Road,Generic
Telok Paku,Road,Malay
Meyappa Chettiar,Road,Indian
Potong Pasir,Avenue,Malay
Woodsville,Close,Generic
Claymore,Road,British
Orange,Grove Road,Generic
Balmoral,Road,British
Lermit,Road,British
Stevens,Close,British
Fernhill,Road,British
Sungei Tengah,Road,Malay
Pasu,Jalan,Malay
Lekar,Jalan,Malay
Choa Chu Kang,Track,Chinese
Tampines,Drive,Malay
Westlake,Avenue,Generic
Casuarina,Walk,Generic
Arang,Kampong,Malay
Ramsgate,Road,British
Kayu,Kampong,Malay
Batu,Jalan,Malay
Broadrick,Road,British
Marina,Mall,Generic
Central,Boulevard,Generic
Marina,View Link,Generic
Shunfu,Road,Chinese
Casuarina,Road,Generic
Nemesu,Road,Malay
Eunos,Avenue,Malay
Yio Chu Kang,Gardens,Chinese
Horne,Road,British
Tyrwhitt,Road,British
Hamilton,Road,British
Cavan,Road,British
Coast Ferry,Road,Generic
Jurong Pier,Road,Malay
Pandan,Circus,Malay
Coronation,Road,British
Queen's,Road,British
King's,Road,British
Duchess,Avenue,British
Pinang,Jalan,Malay
Haji Alias,Jalan,Malay
Ampang,Jalan,Malay
Lim Tai See,Jalan,Chinese
Lim Tai See,Walk,Chinese
Astrid,Hill,British
Gopeng,Street,Malay
Peck Seah,Street,Chinese
Bernam,Street,Malay
Semangka,Lorong,Malay
Dickenson,Hill Road,British
Pickering,Street,British
Park,Crescent,Generic
York,Hill,British
Chin Swee,Road,Chinese
Magazine,Road,Generic
Outram,Hill,British
Bonham,Street,British
Flint,Street,British
Chulia,Street,Indian
D'almeida,Street,Other
Marina,View,Generic
Hospital,Avenue,Generic
Hospital,Drive,Generic
Thomson,Green,British
Eunos,Road,Malay
College,Road,British
Outram,Park,British
Pearl,Bank,British
Kim Pong,Road,Chinese
Seng Poh,Road,Chinese
Tiong Poh,Road,Chinese
Yong Siak,Street,Chinese
Chay Yan,Street,Chinese
Peng Nguan,Street,Chinese
Lim Liak,Street,Chinese
Minyak,Jalan,Malay
Thomson,View,British
Thomson,Hill,British
Thomson Hills,Drive,British
Rambai,Road,Malay
Serenade,Walk,Generic
Thomson,Close,British
Eastwood,Road,British
Greja,Jalan,Malay
Eastwood,Green,British
Eastwood,Terrace,British
Eastwood,Walk,British
Suka,Jalan,Malay
Molek,Jalan,Malay
Westerhout,Road,British
Talma,Road,Other
Cassia,Crescent,Generic
Sims,Place,Chinese
Sims,Lane,Chinese
Tahar,Lorong,Malay
Dakota,Crescent,Other
Enam,Jalan,Malay
Guillemard,Crescent,British
Guillemard,Lane,British
Aljunied,Crescent,Other
Dunbar,Walk,British
Geylang,Avenue,Malay
Pendek,Lorong,Malay
Telok Kurau,Lorong,Malay
Joo Chiat,Place,Chinese
Still,Lane,British
Telok Kurau,Road,Malay
Siglap,Rise,Malay
Duku,Lane,Malay
St Patrick's,Road,British
Frankel,Close,Other
Frankel,Walk,Other
Frankel,Drive,Other
Frankel,Street,Other
Hartley,Grove,British
Roseburn,Avenue,British
Coldstream,Avenue,British
Greenfield,Drive,Generic
Siglap,Plain,Malay
Frankel,Terrace,Other
Siglap,Avenue,Malay
La Salle,Street,Other
Ang Mo Kio,Industrial Park,Chinese
Chapel,Road,Generic
Jago,Close,British
Kuo Chuan,Avenue,Chinese
Karikal,Lane,Indian
Tembeling,Road,Malay
